title,views,posted
Andile (Space Andza)’s MOST Awkward Date with Lungile!,138000.0,7 days 
Kwesta's MOST Awkward Date EVER!,301000.0,3 weeks 
Julius Malema’s MOST Awkward Date EVER,606000.0,1 month 
Coachella Randy on the MOST awkward date with Lungile,273000.0,1 month 
Celeste Ntuli’s most AWKWARD date!!,147000.0,1 month 
Gugu Mandela gets SPICY with Ntokozo on Awkward dates,271000.0,1 month 
Mduduzi Mabaso’s most AWKWARD date,269000.0,1 month 
Secrets Revealed on Awkward Date with Boity!,289000.0,2 months 
Secrets Revealed on Awkward Date with Seekay!,352000.0,2 months 
A Date Gone Wrong with Kagiso Mogola and Lungile,278000.0,2 months 
Nonku Williams’ MOST Awkward Date Exposed!,249000.0,2 months 
Letroy Mashigo Faces His MOST Awkward Date Yet with Lungile!,157000.0,2 months 
Tsitsi Chiumya Faces Hilariously AWKWARD Moments on a date,228000.0,2 months 
Nobantu Vilakazi’s Awkward Date with Ntokozo Mahlinza – Cringe Alert!,217000.0,3 months 
Mapaseka Pasi Koetle’s MOST AWKWARD Date Yet!,319000.0,3 months 
Siyamthanda’s Hilariously Awkward Date – Will It End Well?,347000.0,3 months 
Sphokhule's MOST Awkward Date EVER!,267000.0,3 months 
Zintle Mofokeng’s MOST Awkward Date Moments with Ntokozo Mahlinza!,489000.0,3 months 
Christall Kay’s MOST Awkward Date EVER,291000.0,3 months 
Big Nandz's MOST Awkward Date EVER!,215000.0,3 months 
DBN Gogo's MOST Awkward Date EVER!,283000.0,3 months 
Khosi Twala on an Awkward Date…,190000.0,4 months 
Liema Pantsi on an Awkward Date,148000.0,4 months 
Mpho Popps' MOST Awkward Date EVER,567000.0,4 months 
Zee Nxumalo's MOST Awkward Date EVER!,409000.0,4 months 
Elaine's MOST Awkward Date EVER!,212000.0,4 months 
"Pearl Thusi on Her MOST Awkward Date – Lungile Leaves Her Speechless!""",538000.0,5 months 
Nomsa Buthelezi on an Awkward Date with Lungile,173000.0,5 months 
Linda Mtoba's MOST Awkward Date EVER,399000.0,6 months 
Ntokozo Mahlinza's MOST Awkward Date EVER!,516000.0,6 months 
BU (Luthando) Mthembu in an Awkward Date,288000.0,6 months 
Khaya Dladla's MOST Awkward Date EVER,409000.0,6 months 
The Funny Chef Goes in an Awkward Date…,212000.0,6 months 
Dominic Zaca’s PLOT TWIST of an Awkward Date,746000.0,6 months 
Josephdary's MOST Awkward Date EVER!,409000.0,6 months 
Mologadi (Titus)'s MOST Awkward Date EVER!,358000.0,6 months 
Jesse Suntele's MOST AWKWARD Date Ever!,438000.0,7 months 
Moghelingz's MOST Awkward Date EVER!,486000.0,7 months 
Ghost Hlubi's MOST Awkward Date EVER!,350000.0,7 months 
Manaka Ranaka in an Awkward Date,253000.0,7 months 
Yanda Woods's MOST Awkward Date EVER!,346000.0,7 months 
Tshego Koke’s MOST Awkward Date EVER,232000.0,7 months 
Zillewizzy on an Awkward Date…,475000.0,8 months 
Thando Thabethe's MOST Awkward Date EVER!,305000.0,8 months 
Sandile Mahlangu On an Awkward Date…,297000.0,8 months 
Junior De Rocka in an Awkward Date…,168000.0,9 months 
Just Daddy G's MOST Awkward Date EVER!,401000.0,9 months 
Maps Maponyane's MOST Awkward Date EVER!,250000.0,9 months 
Rami Chuene's MOST Awkward Date EVER!,221000.0,9 months 
Libho Geza's MOST Awkward Date EVER!,222000.0,9 months 
Unathi's MOST Awkward Date EVER!,250000.0,10 months 
Primo (Primo9teen) Baloyi's MOST Awkward Date EVER!,308000.0,10 months 
Zola Nombona's MOST Awkward Date EVER!,280000.0,10 months 
Clement Maosa's MOST Awkward Date EVER!,267000.0,10 months 
Thandooo's MOST Awkward Date EVER,921000.0,11 months 
Nadia Nakai's MOST Awkward Date EVER!,293000.0,1 year 
Anele Zondo's MOST Awkward Date EVER!,427000.0,1 year 
Dj Sbu in an Awkward Date,144000.0,1 year 
Dawn Thandeka King's MOST Awkward Date EVER!,407000.0,1 year 
Bontle Modiselle Moloi's MOST Awkward Date EVER!,398000.0,1 year 
Londie London's MOST Awkward Date EVER!,327000.0,1 year 
Vusi Nova’s MOST Awkward Date Ever!,741000.0,1 year 
Faith Nketsi in an Awkward Date,492000.0,1 year 
Cyan Boujee's MOST Awkward Date EVER!,532000.0,1 year 
Minnie Dlamini's MOST Awkward Date EVER!,403000.0,1 year 
Seemah's MOST Awkward Date EVER!,610000.0,1 year 
Ntando Duma's MOST Awkward Date EVER!,471000.0,1 year 
Kwenzo Ngcobo's MOST Awkward Date EVER!,584000.0,1 year 
Khanyi Mbau's MOST Awkward Date EVER!,598000.0,1 year 
"Lungile (Lasizwe’s Brother) Faces His MOST Awkward Date Yet!""",757000.0,1 year 
Mihlali Ndamase's MOST Awkward Date EVER!,379000.0,1 year 
Kamo Mphela in an Awkward Date,502000.0,1 year 
Toss's MOST Awkward Date EVER!,494000.0,1 year 
Mmusi Maimane's MOST Awkward Date EVER,257000.0,1 year 
Saying Goodbye...What Does This Mean For My YouTube Channel?,294000.0,1 year 
Who Is Out-Spending Who? Lasizwe and Mihlali Battle it Out!,214000.0,2 years 
"24 Hours in Cape Town, South Africa with Lasizwe",98000.0,2 years 
2022 Gays VS 1992 Gays,134000.0,2 years 
How many Red Flags before calling it quits?,28000.0,2 years 
Robberies Gone Wrong!,23000.0,2 years 
Most Expensive Gas Prices and Worst National Anthem!,49000.0,2 years 
