title,views,posted
EPISODE 18 | POLYGAMY - The way it’s structured Culturally Vs The money Aspect,1000.0,9 hours 
EPISODE 17 | FINALE EPISODE,4500.0,7 days 
EPISODE 16 | Family Gatherings,5000.0,2 weeks 
EPISODE 15 | Township Lifestyle,7100.0,2 weeks 
EPISODE 14 | Being Stuck as a Man,7900.0,4 weeks 
EPISODE 13 | Drugs in the community,6600.0,1 month 
EPISODE 12 | The Impact Of Forgiveness,5400.0,1 month 
"EPISODE 11 | Spirituality, Personal Belief",5000.0,1 month 
EPISODE 10 W/ Percy Mthunzi | Difficulties Of Being A Step Father,7400.0,1 month 
EPISODE 9 | Dealing with a Cheating Partner in a Romantic Relationship,6500.0,2 months 
Episode 8 Financial Literacy Part 1 - Black Bussinesses in Townships,6400.0,2 months 
"Episode 7 | Couple issues,How to approach this sticky situation",8100.0,2 months 
EPISODE 6 | Superman Effect,10000.0,2 months 
EPISODE 5 | Mama’s Boy,9600.0,3 months 
"EPISODE 4| Cellphones & Spouses , Work Boyfriends , GBV",10000.0,3 months 
EPISODE 3 | Beautiful Wife Beautiful Knife,15000.0,4 months 
EPISODE 2 | Groove transactions,8700.0,4 months 
EPISODE 1 | Living at your girlfriends parents house,13000.0,4 months 
"Majita Monday , Coming soon !",565.0,4 months 
What would you do as a gent ?,455.0,4 months 
