title,views,posted
"Shaun Stylist Talks Music, MamKhize, Andile Mpisane, Oscar Mbo, Marriage - Open Chats Podcast Ep. 93",158000.0,2 weeks 
"🏆 Podcast of The Year, Mamkhize, RDP Houses, Dictatorship Vs Democracy - Open Chats Podcast Ep. 90",155000.0,1 month 
"🏆 Podcast of The Year, Spreading Humours, Thakgi, Sonwabile, Young Stunna - Open Chats Podcast Ep 89",187000.0,1 month 
"Uncle Waffles, Dj Sbu, Spaza Shops, Dj Maphorisa, MacG, Zahara & More - Open Chats Podcast Ep. 88",126000.0,1 month 
"Friendzone, Siutationships, STI's & More - Open Chats Podcast Episode 87",184000.0,1 month 
Do Women Date for Love or Provision? Amapiano Debates & Heartbreak Advice | Open Chats Podcast Ep.86,184000.0,1 month 
She Is Selling The Banganoy & He is Buying the Banganoy 😂 - Open Chats Podcast Episode 85,214000.0,1 month 
"Zulus Vs Swatis, High School Girls, Ghost Hlubi, Vinicius, Kanye West, - Open Chats Podcast Ep 84",266000.0,1 month 
"Carolina Trip Stories, Casper Nyovest, Emtee, Sino Baby Mama Fight- Open Chats Podcast Ep 83",203000.0,1 month 
"High Body Counts, Mjolo, Talking Stages and More - Open Chats Podcast Episode 82",195000.0,2 months 
"Nigerian Men In SA, Club Bottle Girls, Siya Kolisi, Kelvin Momo, Marriage - Open Chats Podcast Ep 81",191000.0,2 months 
"Shocking Truths About Gays, Foreskins ! - Open Chats Podcast Episode 80",137000.0,2 months 
"Ghost Hlubi vs Sonwabile, Podcast and Chill, MacG, Oscar Mbo, 200k Subs🎉 - Open Chats Podcast Ep 79",344000.0,2 months 
"Emtee Exposes EVERYTHING, Beefs, Nasty C, A Reece, Nota OnlyFans,New Album - Open Chats Podcast Ep78",366000.0,2 months 
"Kabza Da Small Scandal, Drip FootWear Liquidation, Black Tax & More - Open Chats Podcast Ep 77",162000.0,2 months 
"OnlyFans Salary, Sneaky Links, Cheating, Worst Experiences, & More - Open Chats Podcast Ep 76",136000.0,2 months 
