title,views,posted
"Prof Blade Nzimande on Fees Must Fall, Jacob Zuma, MK Party, NSFAS, Mandela, Mbeki, Zuma, Ramaphosa",20000.0,4 hours 
'Mbalula is my brother' — Tony Yengeni,6800.0,1 day 
"Tony Yengeni on Fikile Mbalula, Jacob Zuma & MK Party, 'GNU', Chris Hani, Phala Phala, ANC, CR17",95000.0,2 days 
‘GNU won’t do more.’ — Prince Mashele,4300.0,3 days 
"Prince Mashele on ‘GNU’, ANC, MK Party, Jacob Zuma, DA, Ndlozi, Julius Malema, EFF, Thabo Mbeki",143000.0,4 days 
'Zuma lost faith in Zondo Commission.' — Adv Muzi Sikhakhane,16000.0,5 days 
"Adv Muzi Sikhakhane on Chris Hani, new book, Jacob Zuma, Zondo, State Capture, Black Advocates, Law",125000.0,6 days 
"Ramaphosa begs SACP to stay: Solly Mapaila, Panyaza Lesufi, Tony Yengeni, ANC Jan 8",40000.0,8 days 
"What’s SHAKING South African politics in 2025? ‘GNU’, ANC v DA v EFF v MK",22000.0,9 days 
"Funniest Bloopers on SMWX 😂 | Sizwe Mpofu-Walsh, Pandor, Thembekwayo, Matshiqi, Mkhwebane",9900.0,2 weeks 
"Teresa Oakley-Smith: ANC history, 'GNU', BEE, school racism, Nelson Mandela, Jacob Zuma & MK Party",33000.0,3 weeks 
"Reuben Brigety: Lady R, AGOA, BRICS, Israel-Palestine, Gaza, 'GNU'",29000.0,4 weeks 
"Mmusi Maimane: 'GNU', BOSA, Parliament, ANC, DA, Zuma & MK Party, Ramaphosa, spaza shops",74000.0,1 month 
"EFF, SACP & MKP Events: EFF NPA, SACP Congress, MKP anniversary, Malema, Mbeki, Ndlozi, Zuma, ‘GNU’",67000.0,1 month 
"Songezo Zibi: 2024 Election, ANC, ‘GNU’ negotiations, MK Party, SCOPA, Rise Mzansi, Parliament",35000.0,1 month 
"Vusi Thembekwayo: Money, Jacob Zuma & MKP, Masterclass, Spaza shops, Ramaphosa, podcast, motivation",256000.0,1 month 
"Gogo Matshiqi: 'GNU', Zuma & MK Party, ANC-DA, Ramaphosa, SACP, Floyd Shivambu, EFF, Julius Malema",204000.0,1 month 
"Helen Zille: Jacob Zuma & MK Party, ‘GNU’, early life, biography, coalitions, Ramaphosa, Mashatile",158000.0,1 month 
"Kgalema Motlanthe: Thabo Mbeki, Robben Island, ‘GNU’, Mandela, NUM, CODESA, Jacob Zuma, Ramaphosa",114000.0,1 month 
"John Hlophe: JSC, 'GNU', Zuma & MK Party, Law, Constitution, life story, Judiciary, impeachment",149000.0,1 month 
"Justice Albie Sachs: Life story, Oliver Tambo, ANC history, Apartheid, SA Constitution, Concourt",17000.0,1 month 
"Mighti Jamie: Concourt Phala Phala case, ‘GNU’, Floyd Shivambu, MK Party, SA economy, EFF, Ramaphosa",85000.0,1 month 
"Tessa Dooms: 'GNU', ANC-DA, Jacob Zuma & MK Party, EFF, Donald Trump, Left vs Right",54000.0,1 month 
"Lukhona Mnguni: 'GNU', Botswana, Jacob Zuma & MK Party, ANC-DA, EFF, Floyd Shivambu, 2024 Election",92000.0,1 month 
"Ongama Mtimka: ‘GNU’, ANC-DA, Jacob Zuma & MK Party, Julius Malema & EFF, Floyd Shivambu, Ndlozi",62000.0,2 months 
"Darren Campher: Jacob Zuma & MK Party, EFF, 'GNU', ANC-DA, BELA Act march",96000.0,2 months 
"Samkele Maseko: ANC-DA, EFF, Jacob Zuma & MK Party, Gavin Watson, Cyril Ramaphosa, Helen ZIlle, GNU",204000.0,2 months 
Will MK Party and EFF unite?,89000.0,2 months 
"Brian Molefe: ‘GNU’, Eskom, EFF, Guptas, Zuma & MK Party, State Capture, Shivambu, SA economy",227000.0,2 months 
"Fasiha Hassan: 'GNU', ANC-DA, SACP, BRICS, Israel-Palestine, JSC, Fees Must Fall, US election",57000.0,2 months 
"Thembekile Mrototo on 'GNU', Big Debate, Unfollowed, 2024 election, ANC-DA, Newzroom Afrika, eNCA",44000.0,2 months 
"Thandi Modise on 'GNU', BRICS, Zuma and MK Party, DRC war, Russia, Ranking SA Presidents, ANC, SANDF",131000.0,2 months 
"Floyd Shivambu on EFF, Jacob Zuma, State Capture, Julius Malema, MK Party, 'GNU', Ramaphosa, BRICS",896000.0,2 months 
"Dr Kgosientsho Ramokgopa on loadshedding, 'GNU', Eskom, ANC, de Ruyter, Mbalula, Tshwane, Ramaphosa",86000.0,2 months 
"Israel vs Iran? Middle East War explained | Lebanon, Yemen, Gaza",29000.0,2 months 
"Assessing ‘GNU’ after 100 days | ANC, NHI, Helen Zille, Mbalula, DA, Ramaphosa, BELA, economy",27000.0,2 months 
"Busisiwe Mkhwebane on EFF resignation, 'GNU', life and upbringing, Section 194 Committee, MK Party",258000.0,3 months 
Panyaza Lesufi vs Fikile Mbalula? Feud over ‘GNU’ and ANC’s future,100000.0,3 months 
"Rekgotsofetse Chikane on ANC-DA, MK Party, 2024 election, Jacob Zuma, civil society, EFF",94000.0,3 months 
"Panyaza Lesufi on 'GNU', Helen Zille, Tshwane, ANC, EFF, Jacob Zuma & MK Party, Solly Mapaila, BELA",305000.0,3 months 
"Equal Education's Noncedo Madubedube on BELA Act, 'GNU', budget cuts, language policy, SGB powers",13000.0,3 months 
