title,views,posted
"Episode 115|Lesego Gumede on Sneaker Cleanic living with a disability,Entrepreneurship,Relationships",396.0,23 hours 
"Episode 114| Things to clarify from the year, What are you grateful for, Most disappointing episode",2500.0,10 days 
"Episode 113| Hazel Mahazard on podcasting, relationships, upbringing, DJ’ing, music, Prince Kaybee",9300.0,3 weeks 
"Episode 112|What's success? Love never lies South Africa, Nelly Mawaza, cutting off friends,Dominic",4700.0,4 weeks 
"Episode 111| Dj Sbu at it again, illegal mining, Sello Maake kaNcube marital issues",3200.0,1 month 
"Episode 110| Kokie The Mic on Barcadi, dating, Rekere, being famous, Album",4800.0,1 month 
"Episode 109| Apologizing to an Ex, Marriage , Umjolo on Netflix, 400 adult tapes, Nigerians in SA",5000.0,1 month 
"Episode 108| Mavusana Vhoo’s weight lose, Dental Dam, Toxic love, Gontse’s funeral, Child support",5500.0,2 months 
"Episode 107| MalumFoodie on being a cook, Mogogelo, Career, Family, events, brand collaborations",2100.0,2 months 
"Episode 106| Sis Maria on content creation, Heart break, Making music, Witchcraft, Going viral",3400.0,2 months 
"Episode 105| Press & Dineo Moloisane, Giving Consent, Lekau drip liquidation,Khoisan group at Union",8200.0,2 months 
"Episode 104| Leon Lee on forming Jika Boys, hits song, working with Maphorisa, King Monada, Open Mic",8900.0,3 months 
"Episode 103|P Diddy’s arrest, growing up with rats, Mash Wadi Drags, Matric dance, Biri Marung, Snow",4900.0,3 months 
LET’S WELCOME ARETHUSENG TO THE FAMILY,272.0,3 months 
"Episode 102| Kat Monate on family feuds, content creation, fatherhood, TikTok girls, Boarding School",24000.0,3 months 
"Episode 101| Dating in secret, Dj Maphorisa Vs Somthing Soweto, two pot claims, Love that sacrifice",5700.0,3 months 
"Episode 100| Dikuku Bester On content creation, working with Kopano mere, Space Andza and more",20000.0,4 months 
"Episode 99| Finding out on your birthday, Tsekeleke Vs Neo, Khanyi Mbau’s new face, Kasi Lifestyle",3700.0,4 months 
"Episode 98| Enjoying UIF, Childhood traumas, Playing 30 seconds, Gentle parenting, Wanting Kids",3500.0,4 months 
"Episode 97| Tebogo Sweatz on Relationships, Life Coaching, Knowing Your Self, Radio presenting",877.0,4 months 
"Episode 96| Pastor Mboro, Mihlali Ndamasi and 75 missed calls, Chidinma on Miss SA 2024, Uncle Don",2200.0,5 months 
"Episode 95| Sentle Andile’s content, Solly Moholo is a industry plant, Kasi living, SA Legends",2500.0,5 months 
"Episodde 94| Berry Jive on making music, family fights, prison life, beef with Slim Dumpie",27000.0,5 months 
"Episode 93|Karabo Mnisi on Dead pose, Influencer culture,Cooper Pabi, failing at school,future plans",6900.0,5 months 
"Episode 92|Marks Pub, friendship breakups, paranormal activities, Donald Trump assassination attempt",2700.0,5 months 
"Episode 91| Is banter bullying? Bro code, Gayton Mackenzie, Mr Ibu buried in his house, Inno Sadiki",2300.0,6 months 
"Episode 90| Kgothatso Mahlebezulu on being a Sangoma, Dating, Spiritual ties, Witchcraft,",6900.0,6 months 
"Episode 89| GBV, infidelity and being in a toxic relationship by Kelebogile Mashigo",9900.0,6 months 
"Episode 88| Hoof trimming, Shebe Shxt Accident, MK party, N’veigh album launch, Jazzi Q Vs Ngcebo",3500.0,6 months 
Pivot Table Excel Tutorial in 4 minutes,86.0,7 months 
"Episode 87| The Ultimatum, Fake churches, P Diddy beating Cassie, Connections over hard work",3600.0,7 months 
"Episode 86| Worst subject in school, Gcinile vs Grootman, abusive relationships, Mihlali & Rihanna",3900.0,8 months 
How To Use WhatsApp on Your Computer | WhatsApp,41.0,8 months 
"Episode 85| Jelly Babie VS Martha, Prince Wako Pitori, Giving out fake qualifications, AKA & Anele",5700.0,8 months 
Mash wadi drags on the importance of school,1300.0,8 months 
"Episode 84| Things to do on the first date, Cassper's marriage, Kendrick beefing with Drake & J.cole",6800.0,8 months 
"Episode 83| Mash Wadi Drags On drag racing, Dj Sbu, Dineo Moloisane, Mentorship, GTI, Masweetsi",66000.0,8 months 
Most impactful strikers of the modern game & Teams that have fallen off from Grace,363.0,8 months 
"Episode 82| Rice test, Long weekend vibes, Voting EFF is dangerous, Tumelo Malachi Interview",2600.0,8 months 
How to Add Signature in Gmail,71.0,9 months 
"Sports Culture Ep 10| The importance of Impact players, Mbappe, Saka, Sundowns, Goal line Technology",140.0,9 months 
"Episode 81| Dating toxic people, being asked out as a guy, R350 grant, Tyla debut album, SA politics",6400.0,9 months 
Its not an episode kodwa enjoy,968.0,9 months 
Lindokuhle on dating Dedrick Bonolo,1200.0,9 months 
Do you know whats wrong with the world?,114.0,9 months 
"Episode 80|Mokgethwa on the sobering podcast,state of hip hop, love for sneakers,AKA, being a rapper",1800.0,9 months 
Sip and Spill with Mondli Skosana and Chrissy L,624.0,9 months 
Lindokuhle on her trip to Kenya and the content creator awards,1000.0,9 months 
"Episode 79| Lindokuhle on motho wa Ernest, TikTok, relationship with Dedrick, Papi NiceTinz, Kenya",36000.0,9 months 
"Episode 78| Toilet visits at a partner’s place, Sip and Spill with Lengana, Castor oil, Ntandokazi",6600.0,10 months 
Undurscore speaks on the product he applies on his face,195.0,10 months 
UndurScore on failing matric twice,398.0,10 months 
Mondli Skosana on getting an STI,415.0,10 months 
"Episode 77| UndurScore Mapudikwanga on being a parent, failing matric, comedy, Brits, face painting",17000.0,10 months 
"Episode 76|Nelly Mawaza,Cyan Boujee,Nico and Jelly babies, STI outbreak, Dineo Moloisane is Lesbian?",11000.0,10 months 
"Episode 75| Prince Wako Pitori on Leaving TUT FM, Beef with Karabo Madder, marrying young, Poetry",42000.0,10 months 
"Episode 74|Knowing how to complain, Kefilwe Mabota, faking a marriage, Dj Maphorisa Vs Prince Kaybee",2500.0,11 months 
"Episode 73|Public school parents,Mandela’s beneficiary ,taking girls from the club home,Elsa Majimbo",1900.0,11 months 
"Sports Culture Ep 10| Bafana Bafana Vs Nigeria, Hugo Broos coaching, AFCON CUP, Lewis to Ferrari",183.0,11 months 
"Episode 72| Sizwe nineteen on pioneering quantum sound,TikTok,Crazy Performances,Dinho, Dj Maphorisa",3800.0,11 months 
"Sports Culture Ep 9| AFCON the best competition, Onana has no discipline, Bafana Bafana knocked out",128.0,11 months 
"Episode 71| Dealing with childhood traumas, trans lesbians, SA Politics, Duduzane Zuma’s new party",1800.0,11 months 
"Sports Culture Ep 9| Kavin De Bruyane’s assist, South Africa in the AFCON Cup, Sundowns players.",102.0,11 months 
"Episode 70| Sapphire on being a content creator, TikTok, Music, Family, School, leaving church",2300.0,11 months 
"Sports Culture Ep 8| Saudi Pro League vs Premier League, Mbappe moving to the right team, Halaand",130.0,1 year 
"Episode 69| Hanging with Phindy Maphendula, Oscar, Adulting S2, Cyan tampon saga, Paballo butt lift",7800.0,1 year 
"Sports Culture Ep 7 | Bundesliga review, Bayer Leverkusen , Bayern Munich to steal the league",201.0,1 year 
"Episode 68| Passing of Zahara,Dj Sbu, Year end regrets, Amapiano awards,All white experience",2300.0,1 year 
"Episode 67| What’s your relationship with alcohol?Paballo, Dating her stepfather, Insurance scam",5200.0,1 year 
"Episode 66| Maneo Magoleng on Moja Love Ostofuza, Body Positivity, Fashion, Love Life, Leaving Home",5100.0,1 year 
"Episode 65| Skomota and Alsotro, Oscar being released, Rand Manipulation, Eugene Khoza",5200.0,1 year 
Jelly babie on why she left team R5,4300.0,1 year 
"Episode 64| Mavusana Vhoo speaks on relationship with Cassper, being a comedian, creating content",44000.0,1 year 
"Sports Culture Ep 6| Mamelodi Sundowns the AFrican champions,Real Madrid, FIFA President in Africa",126.0,1 year 
"Episode 63|Rihanna is pregnant again, Somizi and Vusi Nova dating, GalXboy price points, Jelly Babie",3000.0,1 year 
Create an Org structure using Powerpoint,59.0,1 year 
"Episode 62| Jelly Babie speaks on losing Vusi R5, Leaving Team R5, Social media hate, Leaving school",113000.0,1 year 
How To FIX Your Gmail Account Storage full problem in few min,46.0,1 year 
"Episode 61| Ghost Hlubi and Seemah, Moja Love Vs Xolani, Gogo Skhotheni, Djs dating underage kids",1400.0,1 year 
Dj Pancakes complains about men who want to sleep with her everytime she seeks their help,126.0,1 year 
Basics of Excel,132.0,1 year 
Guys want to be side chicks,217.0,1 year 
"Episode 60| Rugby World Cup Win, Dating for an hour, eating expired foods, Flirting for positions,",1500.0,1 year 
My Girlfriend Got Engaged To Another Guy.,524.0,1 year 
Kulture Sessions Episode 2| Featuring Refentse Mabaso,216.0,1 year 
"Episode 59| Refentse Mabaso on idols experience, dating life, loosing a mother, making music",8000.0,1 year 
"Episode 58 | Dr Mathew Lani scandal, public relationships vs private, people identifying as dogs",1800.0,1 year 
Kulture Sessions Episode 1| Featuring Kaymor Manginawe,181.0,1 year 
Create a newsletter for your Organization,48.0,1 year 
"Episode 57| Maglera needs a hit, Artist riders, SA hip hop is dead, How to shela in today times.",4300.0,1 year 
"Episode 56| Would you rather, Partying with influencers, Skomota, Burna Boy failed concert in SA",2700.0,1 year 
Create a google form part 1,32.0,1 year 
"Episode 55| Mangosuthu Buthelezi, Skomota, SA churches, Marrying Pakistan’s for R300, Rooftop Avenue",967.0,1 year 
"Episode 54| SOMPIRE Kids, Uncle Waffles burger, Joburg fire, Slay Queen & King Djs, Celebrity brands",755.0,1 year 
How to convert PDF documents,74.0,1 year 
"Episode 53|Miss SA drama, This body works for Me, male contraceptives, sleepover attire, friendzone",2000.0,1 year 
How to take screenshots on your Pc/Laptop,30.0,1 year 
"Episode 52|Julius Malema in hot waters,dating someone with mental issues,eating dog meat,Taxi strike",1000.0,1 year 
"Episode 51| TUT protests over Ezaga payment system, Blade Nzimande, NSFAS, alleged Corruption",334.0,1 year 
How to download a video on Facebook,35.0,1 year 
"Episode 50| Jub jub Vs Rape allegations, Senzo Meyiwa murder trail, SAMA awards, loving toxic guys",684.0,1 year 
"Episode 49| Gucci stores closing in SA, Birthday gifts for men, Caster Semenya’s court ruling",217.0,1 year 
"Sports Culture Ep 5| Mbappe move to Real Madrid, Halaand doesn’t deserve a ballon D’OR",101.0,1 year 
"Episode 48| Lastest movie reviews, Shaka ilembe,Inheritance in black communities,Sangoma Vs Pastors,",1400.0,1 year 
"Episode 47| Keamogetswe Masike on Youth Unemployment rate, ANCLY, Bribing the youth to vote",405.0,1 year 
"Episode 46| Being gay, dating in your 30s, Pearl Thusi, SK Khoza, A Woman’s body count",134.0,1 year 
"Sports Culture Ep 4| Man city’s dominance, PSL Awards, Season round up,new signings,Pitso unemployed",108.0,1 year 
"Episode 45| JellyBaby Vs Team R5, Tinder, Dj Zinhle must stop, Palesa Malatji, Interracial dating",2900.0,1 year 
promoter paid me R150,154.0,1 year 
"Episode 44| Kaymor on creating Thatheka, Fame in highschool, Influencers, Promoters, Ami Faku",668.0,1 year 
"Episode 43| Forgiving Lady Zamar, Long distance relationships, Focalistic, Makhadzi, tiktok trolls",2600.0,1 year 
"Snowdeep was supposed to be Kabza De Small, Working with SnowDeep, TBoy & Murumba Pitch",271.0,1 year 
Lindy M “Papi Nice Tingz Blocked me”,480.0,1 year 
Voting for ANC in the 2024 general election,89.0,1 year 
Girls faking pregnancies for money,127.0,1 year 
"Kasi is a toxic place to live in, A graveyard of dreams.",250.0,1 year 
"Episode 42| Lindy M On being an Influencer, friendship, mental health, Tiktok stardom, Brabadola",9900.0,1 year 
"Episode 41| Who killed AKA, being naked at funerals, Blacks voting for DA, Kings of Joburg, Africa",1300.0,1 year 
"Sports Culture Ep 3| Benni McCarthy appreciation, Banyana Banyana in the World Cup, Soweto Deby",139.0,1 year 
"Serving Receipts Ep1| Smash or Pass, Dating as a young adult,Polygamous relationships, Facebook porn",2300.0,1 year 
"Sports Culture Ep2| Arsenal won’t win the league, Arthur Zwane, football politics, Man City, Haaland",185.0,1 year 
"Episode 40| First Amapiano diss track, Cyan Boujee, Tiktok beefs, KO, Reusing Pet-names, Pabi Cooper",1600.0,1 year 
"Episode 39| Dj The Mxo on working with Focalistic, 25K, Snow deep, making sample packs, rapping",1400.0,1 year 
"Sport’s Culture Episode 1 (Pt 2) | Diski Challenge, South African football, Witchcraft in Football.",110.0,1 year 
"Sport’s Culture Episode 1(Pt 1) |World Cup Wrap Up, Messi the Ultimate GOAT, Ronald Move to Al Nassr",110.0,1 year 
"Sports Culture| Weekend games predictions, Leicester, Liverpool, Kaizer Chiefs, Orlando Pirates",108.0,2 years 
"Episode 38| This Body Works For Me, Elon Musk, Balenciaga, Skeem Saam, Baddies, Dec Groove, Areece",2300.0,2 years 
"Episode 37| Thabiso Thabethe on home coming events, record label, fall out with business partner",437.0,2 years 
"Episode 36| FIFA World Cup, Pitbull breeding, Ntsiki Mazwai , Shebeshxt, Charlize Theron, The Wife",1600.0,2 years 
"Episode 35| Sonia Booth, David Tlale, Zanele Sefuba, Tokyo Sewale, Take Off, Solo Dates, Kasi Crimes",4400.0,2 years 
"Episode 34| Hlayiseka Mukhari on Student failure rate, Mashau’s removal, dating life,studying at SMU",655.0,2 years 
"Episode 33| South African women and North African men, TikTokers, Seemah’s lies, Instagram Babies.",4500.0,2 years 
"Episode 32| Percy Maimela on Winning Guinness World Record, Dubai, losing his mom, Wintervield, Art",178.0,2 years 
"Episode 31| Trevor Noah fired from The Daily Show, Cassper Vs AKA, Priddy Ugly, Kasi Is Toxic MaR5",805.0,2 years 
"Episode 30| Gas Guapo on Cassper Vs Priddy fight, Bacardi, Vusi R5 ,Drinking Lean, Making Money",1000.0,2 years 
"Episode 29| Queen Elizabeth, Zodwa Wabantu uncensored, Dr Malinga, GoldReef City Dates, Babes Wodumo",376.0,2 years 
"Episode 28| Papi Nicetingz On fighting depression, Being an Actor, Mashata, Sj konka, Video creating",2700.0,2 years 
"Episode 27| Bianca Naidoo, Spring Day, SAFTAs, Innocent Masuku, Drug Addiction, House Husband, Mjolo",342.0,2 years 
"Episode 26| DR Phophi, national shutdown, Under The Sun, Worst Jobs in SA, SAMA28, Trivia game",272.0,2 years 
"Episode 25| Big Zulu Diss track, Enhle Mbali, Moneoa, Zulu monarch, Duncan, traditional justifice",435.0,2 years 
"Episode 24| Roast Of Khanyi Mbau, Strike, Quality Control On Pregnancy, A Women’s Milage, Apartheid",819.0,2 years 
"Episode 23| Lucky Monyebane on boxing, Celeb City, Getting knocked out, SA Champion, Koos Sibiya",289.0,2 years 
"Episode 22 | Lethabo on creating Layback , Depression, galaxy boy, losing his parents, Making R96K",1100.0,2 years 
"Episode 21| @prodiiiiiii on growing up in Free State, Sgandi Jo, Black Labone, Kendrick vs J.cole",271.0,2 years 
"Episode 20| @keletsolanga8171 on Jukulyn's finest, Monetising, working with PHraw & Mashbeats,TikTok",2700.0,2 years 
"Episode 19| Andile Vs Sithelo, SK Khoza On Only Fans, Kelly Khumalo, Ukuthwala, Senzo Meyiwa",465.0,2 years 
"Episode 18| Durban July, Monkey pox, Telepathic rape, Cheating, Petrol prices, Anal sex",413.0,2 years 
"Episode 17| Mitlo on growing up In Limpopo, Blacklez, SAMA nomination, YFm rap activity jam",247.0,2 years 
"Episode 16| Seven step & Lebo musiq on Making Hits, Gash1 bbmzansi, Caster Semenya, New Sponsor",346.0,2 years 
Gash1 Big Brother Mzansi Homecoming event featuring Fifi Cooper & K2,1000.0,2 years 
"Episode 14| Culture Spotlight at Kasi Dine,Sbu Ndengese, Leon Lee,Areece ,Brenda Fassie docie",225.0,2 years 
"Episode 13|Sir M on Move Feet To Beat, Somizi Vs Mohale, Dr Rebeca, Lady Vs Father, Cassper & Amanda",247.0,2 years 
"Episode 12| Lebogang Mahlangu On Being Miss SA Top5 & Miss Mamelodi Sundowns,Depp, Dubai Porta Potty",549.0,2 years 
"Episode 11| Dj Divalash on Lock Down House Party, SA politics, AKA & Nadia, Nick Cannon, Lira, Senzo",313.0,2 years 
"Episode 10| Pabi Cooper Vs Pearl Thusi, KZN floods, Intaba yase dubai, Faith Nketsi, Spotlighter",628.0,2 years 
"Episode 9|Thabz Le Madonga on grooming new talent, Vigro Deep, MphoWadimo, SK Khoza,Right dating age",387.0,2 years 
