title,views,posted
Rap*d On Campus Then Banned From University - Yolanda Dyantyi,9200.0,2 days 
I Was Afraid Of Chili Bite Character,1700.0,3 days 
I Got Paid R10 000 For Chili Bite Character - Chili Bite,54000.0,5 days 
Sangomas Are No Longer Relevant - Gogo Skhotheni,126000.0,1 month 
How I Got Shot at Church - Vicky,7200.0,1 month 
How To Spot False Prophets - Cindy Matsela Joel,24000.0,1 month 
The Pain Of Losing My Son - Monde Shange,53000.0,2 months 
How I Paid Off My House In 3 years - Percy Singo,184000.0,2 months 
Gang Raped By 5-Men In Prison - Mlungisi,196000.0,2 months 
I Was Almost K*lled By An Inlaw - Abongiwe,16000.0,2 months 
32 Years Living With H.I.V - Prince,13000.0,2 months 
I Was R*ped By A Woman - Benjamin,164000.0,3 months 
I Was Rap*d 4-Times- Nozuko,52000.0,3 months 
"""He Slept with Dead Bodies at the Mortuary"" - Eric",370000.0,3 months 
How is like to have a liver infection - Ryan,3400.0,3 months 
Kidnapped In Seconds - Karabo,5700.0,4 months 
How I Got Human Trafficked In South Africa - Karabo,398000.0,4 months 
Went To Prison For Committing Murder - Ravi,113000.0,4 months 
"I Stole R1,3 Million From The Bank - Hlengiwe",392000.0,4 months 
Raped by Two Family Members - Mmathabo,41000.0,4 months 
Hell Experience - Constance,3300.0,4 months 
This is what I saw in Hell - Constance Mofokeng,256000.0,4 months 
Went Through India Airport With Drugs - Lindiwe,5800.0,5 months 
Arrested At The Airport With Drugs - Lindiwe Mdlalose,329000.0,5 months 
I Was Wanted By The Police - Abel,5800.0,5 months 
I Almost Became A Girlfriend In Prison - Abel,124000.0,5 months 
Lost My Mind When I Got Into The Bedroom - Jobe,76000.0,5 months 
Caught Her In Bed With Another Man - JOBE,162000.0,5 months 
The day I was arrested for fraud - Eric,9700.0,5 months 
They were fighting for me to be their wife in prison - Eric,354000.0,5 months 
A foreigner made R900 000 with my ID number - Eric,320000.0,5 months 
Witchcraft In Families Is Real - Thembi Tshanda,189000.0,6 months 
My Dad Rap*d Me For 7-years - Zizo,952000.0,6 months 
How I Got Burned - Itumeleng Sekhu,14000.0,6 months 
From HIV Positive To HIV Negative - Qinisile,80000.0,7 months 
Washing Dead Bodies For Extra Cash - Lusani,47000.0,7 months 
Scammed By TikTok Boyfriend - Avela,164000.0,7 months 
How I Stole Millions From My Employer - Lerato,461000.0,7 months 
I Lost One Breast To Cancer - Lebogang,2400.0,8 months 
Gave Him Lobola Money To Marry Me - Ntando,520000.0,8 months 
I Quit Being Gay - Bongani,258000.0,8 months 
Men Can Be Wives In Prison - Prince,382000.0,8 months 
I Got Caught At The Wrong Time - Lerato Chabangu,63000.0,9 months 
Social Media Body Shamed Me On Big Brother Mzanzi - Palesa “Pale” Motanyane,14000.0,9 months 
The reason why we have Hijacked Properties in South Africa - Jozi Eviction Team,128000.0,9 months 
How I Got Infected With H.I.V | Khanyisa Ndoda,346000.0,9 months 
Hijacking & House Breaking Was My Job | Xolani,148000.0,9 months 
I Received Deadly Threats | Lavida Nota,140000.0,10 months 
I Was Gang Rap*d By 6-Men - Musa,1300000.0,10 months 
How I Ended Up In Prison | Pitch Black Afro,595000.0,10 months 
Arrested in Brazil for drug trafficking | Sizakele Maphupha,593000.0,10 months 
I used to inject my self with steroids | The Punisher,557000.0,11 months 
I blew a lot of Money | Gigi Lamayne,162000.0,11 months 
The reason why there is alot of divorces in South Africa | Bakhe Dlamini,230000.0,11 months 
"Owning a gun in South Africa | Penson Mlotshwa, Dating Young & Old , Men Mental Health",44000.0,1 year 
"I died for 3min then came back | Pebetsi Matlaila , Family, America, Skeem Sam, Marriage",151000.0,1 year 
I carried AMAPIANO to African Countries | Blue Aiva | Big Brother | Music | No Support From SA,17000.0,1 year 
How I got Mugged and lost my half leg | Khulani Sikhosana | Black Consciousness | Vuka Darkie,6600.0,1 year 
"We don't get paid what we deserve | The Savage Stylist ,Akon, Basadi Awards , Lockdown, Clients",2800.0,1 year 
"I Owed Banks R40 Million In My 20s | Busi Selesho , Relationship With Money, Being Blacklisted",295000.0,1 year 
"Banyana Banyana Legend Portia Modise | Fifa Women World Cup, SAFA , Politics, Poverty",5600.0,1 year 
Seemah at Podcast & Chill 1 Million Celebration | Ghost Hlubi | Cyan Boujee,47000.0,1 year 
"""I have Stolen Many Cars"" | TRA, Early Life In Soweto, BMW, First Day In Prison",858000.0,1 year 
"""Rappers are broke"" | Overyt, Hip Hop History, SA Rappers, Amapiano, Rap Entrepreneurs",5100.0,1 year 
"Being Brown Dash's Son | Lindash, Pressure At School, Being A Father, Famous Life, Music",18000.0,1 year 
"Why Women use S*x Toys for Pleasure | Ditshwanelo | Marriage, S*x Rounds, Intimacy, Being A Wife",12000.0,1 year 
"""Family Politics Can Kill You"" | Patson Mabunda, Siblings, Loosing Mom 3-days after Birth, Hustle",9400.0,1 year 
"How to turn Passion into Profit | Hetty The Entrepreneur, Skills, Social Media, Businesses",14000.0,1 year 
"""How I lost My Millions"" | Penuel The Black Pen, Having 8 Kids, Marriage, Money, R20 Million",326000.0,1 year 
"CAPE TOWN Is More Dangerous Than Joburg | Nkululeko Nkewu, Gang Violence, Football, idiskiTV",56000.0,1 year 
"""I earned R1500 at Orlando Pirates "" | Tso Vilakazi, Sundowns, Ellis Park Horror, Dstv Premiership",29000.0,1 year 
