title,views,posted
Black Communities Don’t RESPECT Money | Muzi Mthabela,12000.0,1 day 
Orania has its Own CURRENCY | PART 2 | Dr. Lorato Mokwena,7200.0,3 days 
We're also AFRICANS | Kallie Kriel | AfriForum CEO,3300.0,7 days 
BELA Bill is a LOADED Gun against Afrikaans Schools | Kallie Kriel,18000.0,8 days 
80% Youth Foreign Nationals in SA Prison | Singabakho Nxumalo,28000.0,10 days 
Parliament does the BARE Minimum that Needs to be DONE | Baleka Mbete,59000.0,2 weeks 
A STABLE Dad is a PRESENT Dad | Zulu Boy,138000.0,4 weeks 
WHITES ONLY Community was Negotiated at CODESA | PART 1 | Dr. Lorato Mokwena Podcast,27000.0,1 month 
Even Your BROTHER can BETRAY You | Julius Malema,388000.0,1 month 
To be a Successful ATHLETE you have to be at a WHITE School | PART 2 | Hezekiel Sepeng,5300.0,1 month 
No WORK for Old Actors | Robert Whitehead,24000.0,1 month 
I Used to RUN for 8KM to School | PART 1 | Hezekiél Sepeng,12000.0,1 month 
I raised R9 MILLION in SOWETO and bought LAND | Romeo Seyama,63000.0,1 month 
SOFTWARE that can Send You a Fake POP | Calvin Rafadi,120000.0,2 months 
Corruption: The one official is owing R252 MILLION | Tshwane MAYOR Dr. Nasiphi Moya,25000.0,2 months 
"For Every 1 CORRUPT Politician, there’s 5 Officials Behind them | PART 1 | Dr. Nasiphi Moya",32000.0,2 months 
Fighting for my DREAMS & winning against ALL ODDS | Brenda Mtambo,44000.0,2 months 
I was DEAD sick when I recorded Hugh Masekela's tribute | Dr Vusi Mahlasela,24000.0,2 months 
SA has not THANKED the African Countries for Supporting our Liberation | PART 4 | Colson Beea,20000.0,2 months 
MANDELA'S release destroyed my SCHOOLING OPPORTUNITY | Pastor DJ,61000.0,2 months 
RADIO is the Only JOB I've Ever Had | Motsweding Breakfast Show Host | Douglas Mosadi,26000.0,2 months 
"I dropped out of High School to persue HIP HOP, IT WORKED OUT | Kwesta",91000.0,3 months 
My Father had MANY Wives and 40 CHILDREN | PART 2 | Prof. Mashudu Tshifularo,19000.0,3 months 
