title,views,posted
"Konvo Show: Penuel In Conversation With Muzi Mthabela, Family, Black Nation, Christianity, Acting",5100.0,5 hours 
"""EUROPEANS DON'T GET OFFENDED WHEN WE SAY MLUNGU"" - ZOZA SHONGWE",1800.0,2 days 
"""THERE'S PROPAGANDA BEHIND THE IMAGE OF SHAKA BEING A RUTHLESS WARRIOR"" - ZOZA SHONGWE",3100.0,2 days 
"""THE NAME CASSPER NYOVEST IS NOT JUST A STREET NAME, IT HAS HISTORICAL SIGNIFICANCE"" - ZOZA SHONGWE",12000.0,3 days 
"""COLONISERS TREATED ALL AFRICAN PEOPLE LIKE ANIMALS"" - ZOZA SHONGWE",1000.0,3 days 
"""THE ROMAN EMPIRE EVOLVED TO THE ROMAN CATHOLIC CHURCH TO LIVE FOREVER"" - ZOZA SHONGWE",1200.0,3 days 
"""TO MINIMIZE CONFLICT EUROPEANS CHOSE THE ZULU NATION AS THEIR ADMINISTRATORS"" - ZOZA SHONGWE",4500.0,3 days 
"""WHAT WE KNOW TODAY AS SURNAMES USED TO BE NAMES OF NATIONS"" - ZOZA SHONGWE",1300.0,5 days 
"""SURNAMES BEING A EUROPEAN CONCEPT IS A LIE"" - ZOZA SHONGWE",6600.0,5 days 
"""SHAKA ZULU WAS NOT THE INITIAL HEIR TO THE THRONE"" - ZOZA SHONGWE",5600.0,6 days 
"""MY GREAT GRANDFATHER IS ONE OF THE FEW NGUNI KINGS TO DEFEAT SHAKA ZULU"" - ZOZA SHONGWE",7600.0,6 days 
"Konvo Show: Penuel In Conversation With Zoza Shongwe, Zulu Kingdom, Shaka's Defeats, Surnames, Clans",66000.0,7 days 
"""ORANIA IS NOT THE KIND OF PLACE I'D PARTICULARLY LIKE TO GO"" - DR SIZWE MPOFU-WALSH",2800.0,9 days 
"""I DON'T THINK WE MUST CONFLATE ORANIA WITH AFRIKANER IDENTITY"" - DR SIZWE MPOFU-WALSH",4700.0,10 days 
"""THE MOST DEVASTATING FAILURE OF THE ANC GOVERNMENT IS THE STATE OF EDUCATION"" -DR SIZWE MPOFU-WLASH",3900.0,10 days 
