title,views,posted
"EPISODE 628 | Matric Results 2024, Khanyi Mbau, RAF, Fikile Mbalula, Kelly Khumalo, Tyler ICU, HMPV",233000.0,1 day 
PNC On Drake & Lebron | Living Authentically | Embracing Non Conformity In Love | Stop Over Staying,60000.0,2 days 
"Makarapa Event, Uncle Waffles Rider, Dj Maphorisa Studio Camp, Biri Marung, Fake Alcohol,Chris Brown",66000.0,3 days 
"EPISODE 627 |Squid Game 2,Nelson Mandela Grandson Arrested , Mamkhize,Doc Shebeleza, Andrew Tate",345000.0,4 days 
"NSFAS, Friendship Fallouts, California Wildfires, HPMV, Tsekeleke, Gogo Maweni vs Gogo Skhotheni 💈",152000.0,5 days 
Thabiso Mhlongo’s COMEDY WISH LIST Live at Soweto Theatre | An Unforgettable Night of Laughter!,56000.0,8 days 
"PNC on Disabilities, Uniqueness, Strengths and Aspirations",68000.0,9 days 
"Channel O, Trip To USA, Amapiano Artists And Coloured Women, How To Become A Song Writer",65000.0,10 days 
Team MacG vs. Team Sol Phenduka: Podcast and Chill Network’s Ultimate Game Show Showdown 🍿,222000.0,11 days 
"Spreading Humors GAME EDITION : New Year’s Kick Off, Charades, Truth or Dare",131000.0,12 days 
"EPISODE 626 | Sol Phenduka & MacG reflect on 2024 ,Best Interview of The Year , BET Awards ,Lawsuits",397000.0,2 weeks 
2025 New Year Special with PNC : New Year's Reflection and Resolutions,78000.0,2 weeks 
ONSIDE ZA: Answering Your Questions,3100.0,2 weeks 
"AMAPIANO WRAPPED 2024: Top 10 Amapiano Acts, Top Amapiano DJ's , Top Amapiano Vocalists ,Top Trends",62000.0,2 weeks 
Podcast And Chill Network Year-End Function-Celebrating The Year 2024 With All The Hosts And Crew,136000.0,2 weeks 
"Spreading Humors GAME EDITION: MAFIA with Dendrick, Kopano The Future and Brvce",156000.0,2 weeks 
"EPISODE 625 | HELEN ZILLE on Journalism, Steve Biko, Jacob Zuma, GNU, Bela Act , Apartheid Legacy",346000.0,3 weeks 
PNC CHISTMAS SPECIAL LIVE from Cape Town,67000.0,3 weeks 
"ONSIDE ZA: Best Of All Time Across Top Euro Leagues, World Cups and Local Football with Betway",3800.0,3 weeks 
"FELO LE TEE FUN HOUSE feat TANGO SUPREME , UNCOOL MC,GHOST HLUBI , SEEMAH , MYZTRO , NALEDI, VULELA",47000.0,3 weeks 
"EPISODE 624 | MacG & Sol Phenduka reflect on 2024 with HOSTS of Spreading Humors , PNC, Piano Pulse",293000.0,3 weeks 
"CREATOR LESEDI on Tik Tok, Studying, Skits, Soweto, Love Never Lies, Interpolations, Spotify Wrapped",156000.0,3 weeks 
"EPISODE 623 |BENNI MCCARTHY on Man United,Rashford,Erik Ten Hag,Cristiano Ronaldo,SAFA,Jose Mourinho",437000.0,4 weeks 
"PNC On Chris Brown Concert, Are We Living Our Purpose, Working with Dineo Ranaka",84000.0,4 weeks 
"Lady Du, Felo's Fun House, Focalistic, Club MC's, Major Leauge Dj's, Managing Bookings, Kelvin Momo",91000.0,1 month 
"EPISODE 622 | Alcohol Tax, JayZ, Luthuli Dlamini, Jamie Foxx, Performance Anxiety, Year End Roundup",478000.0,1 month 
"JANESH on Lekompo Music, Shandash, Zille Lamazing, Balcony Mix 2.0, Jay Z, December Mood",140000.0,1 month 
"EPISODE 621 Big Brother Mzansi Season 5 Launch with Smash Afrika,Sinaye, Zee ,Yolanda, Mpumi on DSTV",167000.0,1 month 
"PNC On Revenge , Heartwarming Moments & Real Talk ,The Broom Dilemma & Life as a New Dad",67000.0,1 month 
"Munaka WINS R360 000, Buhle Samuels, CD's vs Streaming, Uncle Waffles, SamDeep, Khanyisa Jaceni,Gigs",119000.0,1 month 
"EPISODE 620 | Spotify Wrapped 2024, Celibacy, Mawhoo, Ekland Resort, Ethnicity Index, King Misizulu",455000.0,1 month 
"Nobantu Vilakazi on Vula Mlomo, Musa Keys, DBN Gogo, Motherhood, Sir Trill, Ackerman's Cube, DJing",183000.0,1 month 
"EPISODE 619 | Toxic Family Dynamics, SA-Nigeria Relations, Black Friday Deals ,Big Zulu, Soweto Punk",415000.0,1 month 
"PNC on Festive Season, Different Types Of Holidays & Finding Your Soulmate!",108000.0,1 month 
"Netflix, SASMA, Music Video's, Msaki, Shakes & Les, Major Leauge Djz,Kreative Korner,Mclaren,Limpopo",105000.0,1 month 
"EPISODE 618 | SASMAs, Conor McGregor, Blessers, Mamkhize, Drake vs Kendrick, Royal Bafokeng",457000.0,1 month 
"KHOSI NGEMA on Blood & Water, Acting, Music, Culture, Thakgi, SASMA Awards, Lamazing Music Video💈",233000.0,1 month 
"EPISODE 617 | TUMISHO MASHA On Pretoria Crime,Being Hijacked, America,GBV, Cheating, Custody Battles",465000.0,1 month 
"PNC on Drunk Personalities, Adult Reactions To Our Drinking As Kids & Laughing Off Lifestyle Labels",87000.0,1 month 
"Cape Town, Alcohol In Studio, Amapiano Duo's, Amaroto, Sampling, Maskandi, Sony And Universal,Income",113000.0,1 month 
"EPISODE 616 | YAZ Birth Control,Spaza Shops, Prepaid Meters, Chidimma, Wandi Ndlovu, Crypto Queen",530000.0,1 month 
"COWBOII & SJAVAS on Bayazi, New music, Mellow and Sleazy, Jai Amora, Teenage Pregnancy , Mr Moloto💈",186000.0,1 month 
"EPISODE 615 | PANYAZA LESUFI On Moroka Swallows, NASI iSPANI, Gautrain, ANC, Spaza Shops,Jacob Zuma",428000.0,1 month 
"PNC On Holidays Wrap Up, Year End Debate , Boys vs Girls : The Ultimate Getaway Debate , Relaxation",97000.0,1 month 
"DJ Maphorisa ,DBN Gogo’s Manager, Grammys 2025, Chris Brown, Spiritual Music, PR Stunts, Thulane Way",117000.0,1 month 
"EPISODE 614 |Errol Musk,Zama Zamas, Danny Jordan, DJ Maphorisa, Sello Maake, Mike Tyson vs Jake Paul",496000.0,1 month 
"ZINTLE KWAAIMAN on Performing, Spirituality, Being A Bread Winner, Scamming, Sine Mhlongo , Mzansi💈",219000.0,2 months 
"EPISODE 613 | ERROL MUSK On Growing Up in SA, Elon Musk,Donald Trump,Dating Step Daughter,Ex Wife’s",895000.0,2 months 
"PNC on Witchcraft, Spiritual Powers and The Truth About Side Chick Privileges You Need to Know",119000.0,2 months 
"MFR SOULS on Body Shaming, SAMA's, Tebogo G Mashego, Eeque, Chcco, Classic Songs, Logdrum, Longevity",106000.0,2 months 
"EPISODE 612 I Equatorial Guinea 400 Tapes,SAMAs, Arthur Mafokate vs Gayton,Donald Trump, SARS, Nota",512000.0,2 months 
"KANE KEID on LamaZing, MC's, Rapping, Goat Talking, Nasty C vs A-Reece Debate , Benny the Butcher💈",242000.0,2 months 
"EPISODE 611 I NDUDUZO MAKHATHINI On Jazz History, Lebo Mathosa, Tiny Desk, Black Coffee, Kabza,Exile",137000.0,2 months 
"PNC celebrating Skhumba Hlophe : A Hilarious Journey of Love Laughter and Lessons , Jokes , Life",323000.0,2 months 
"DJ Lessons, Brand Presence, Daliwonga, Cyan Boujee, Master KG, OHP Sage, Scouting Talent",184000.0,2 months 
"EPISODE 610 | Gym Instructors, SAFTAs, Nkosana Makate, Shaun Mogaila, Bongani Fassie, SANTACO",548000.0,2 months 
"Year-End Fatigue, LIMA Awards, Optimist come up, Musa Keys, Tyla, Meditating , Optimist Music ZA💈",195000.0,2 months 
"EPISODE 609 | TK NCIZA On Black Coffee,TS Records, Zahara, DJ SBu, State of Hip Jop, Divorce, ANC",436000.0,2 months 
"PNC On Awards Season, Why Winning Isn’t Everything, Why Timing Matters and No Awards Needed",131000.0,2 months 
"Club Culture, 360 Contracts,Emtee, Dbn Gogo, LeeMackrazy Beef,Talent VS Clout, Karishma |Piano Pulse",123000.0,2 months 
"EPISODE 608 | The Mendez Brothers, Siya Kolisi Divorce , Lesego Pase, Zuma , Musa Mseleku, Kane Keid",452000.0,2 months 
"LIVE Show Recap, Piano Pulse , Siya Kolisi Divorce Story , Lekompo Songs, Vegan Debate , Tik Tok",235000.0,2 months 
"BENEDICT TSO VILAKAZI On Facing Loss, Denmark, Sundowns Secret Success, Rejection, Coaching Crisis",10000.0,2 months 
